stage_code,stage,taxa_name,lw_reg_eqn,slope_b,int_a,lw_reg_length_type,lw_reg_weight_type,lw_reg_source_primary,lw_reg_doi,lw_reg_location,lw_reg_source_secondary,lw_reg_notes
Not_Staged,Not_Staged,Neomysis americana,log10(DW_ug) = 2.73224 * log10(TL_um) - 7.834,2.73224,-7.834,TL,DW,Chapina_et_al_2020,10.1093/jcbiol/ruaa031,Chesapeake Bay,Lindsay_Morrisson_1974,log10(W_ug) = 2.6423 * log10(L_um) - 7.5555
Not_Staged,Not_Staged,Oikopleura,log10(C_ug) = 2.83 * log10(TrL_um) - 7.582,2.83,-7.582,TrL,C,Sato_et_al_2001,10.1093/plankt/23.4.415,NA,Ara_et_al_2016;Hopcroft_et_al_2005;Lavaniegos_Ohman_2007;Jaspers_et_al_2009,ICES 6th Zooplankton Symposium;log10(C_ug) = 3.20 * log10(TrL_um) - 8.93 in Hopcroft et al 2005
Not_Staged,Not_Staged,Oikopleura,log10(DW_ug) = 1.988 * log10(TrL_um) - 4.264,1.988,-4.264,TrL,DW,Nakamura_et_al_2017,10.6620/ZS.2017.56-13,southern Japan Sea,Shichinohe 2000;Lavaniegos_Ohman_2007;McGinty_et_al_2023;Hopcroft_et_al_1998,Hopcroft_et_al_1998 log10(DW_ug) = 2.47 * log10(TrL_um) - 10.51 Eqn. for Oikopleura longicauda;Data Sheet 1 Supp.Table 1
Not_Staged,Not_Staged,Oikopleura longicauda,log10(C_ug) = 2.83 * log10(TrL_um) - 7.582,2.83,-7.582,TrL,C,Sato_et_al_2001,10.1093/plankt/23.4.415,NA,Ara_et_al_2016;Hopcroft_et_al_2005;Lavaniegos_Ohman_2007;Jaspers_et_al_2009,same for Oikopleura;ICES 6th Zooplankton Symposium;log10(C_ug) = 3.20 * log10(TrL_um) - 8.93 in Hopcroft et al 2005
Not_Staged,Not_Staged,Oikopleura longicauda,log10(DW_ug) = 2.574 * log10(TrL_um) - 6.133,2.574,-6.133,TrL,DW,Lavaniegos_Ohman_2007,10.1016/j.pocean.2007.07.002,Mediterranean,Fenaux_Gorsky_1983;Hirst_2012;Nakamura_et_al_2017;Tomita_et_al_1999,Eqn. for Oikopleura longicauda;log10(DW_ug) = 2.39 * log10(TrL_um) - 5.74 in Tomita_et_al_1999
Not_Staged,Not_Staged,Oithona,log10(C_ug) = 2.16 * log10(CL_um) - 6.025,2.16,-6.025,CL,C,Sabatini_Kiorboe_1994,10.1093/plankt/16.10.1329,Denmark,NA,Eqn. for O. similis;W = 9.4676 x 10^-7 L^2.16
Not_Staged,Not_Staged,Oithona,log10(DW_ug) = 1.10 * log10(PL_um) - 3.07,1.1,-3.07,PL,DW,Chisholm_Roff_1990,10.1007/BF02114676,Jamaica,NA,NA
Not_Staged,Not_Staged,Oithona spinirostris,log10(C_ug) = 2.16 * log10(PL_um) - 6.025,2.16,-6.025,PL,C,Dvoretsky_Dvoretsky_2023,10.3390/d15010081,NA,Sabatini_Kiorboe_1994,Eqn. for Oithona atlantica and Oithona similis
Not_Staged,Not_Staged,Oncaea,log10(C_ug) = 3.16 * log10(PL_um) - 8.272,3.16,-8.272,PL,C,Bottger-Schnack_Schnack_2023,10.1007/s00227-023-04249-6,Pacific off Okinawa Island,Nakata_et_al_2001,Table 9
Not_Staged,Not_Staged,Oncaea,log10(C_ug) = 2.90 * log10(CL_um) - 7.60,2.9,-7.6,CL,C,Satapoomin_1999,10.1093/plankt/21.11.2117,Andaman Sea,Arendt_et_al_2012,W = 0.15 L^3 from freshwater Gusakov et al. 2021
Not_Staged,Not_Staged,Oncaea,log10(DW_ug) = 2.1 * log10(PL_um) - 5.05,2.1,-5.05,PL,DW,Bottger-Schnack_Schnack_2023,10.1007/s00227-023-04249-6,Tropical Atlantic ,Webber_Roff_1995,Eqn. for O. mediterranea CI-CVI;Table 8
Not_Staged,Not_Staged,Oncaea,log10(DW_ug) = 2.875 * log10(PL_um) - 7.458,2.875,-7.458,PL,DW,Bottger-Schnack_Schnack_2023,10.1007/s00227-023-04249-6,NW subarctic Pacific,Nishibe_2005,based on 12 spp.;Table 8
