stage_code,stage,taxa_name,lit_weight_ug,lit_weight_type,weight_source_primary,weight_doi,weight_location,weight_source_secondary,weight_notes
Not_Staged,Not_Staged,Harpacticoida,5.56,C,Swadling_et_al_1997,10.1007/s002270050066,eastern Antarctic,NA,CIII-CV
Not_Staged,Not_Staged,Harpacticoida,6.946,DW,Hay_et_al_1991,10.1016/0278-4343(91)90021-W,North Sea,Assmy_et_al_2023;Hopcroft_Roff_1998,NA
Not_Staged,Not_Staged,Heteropoda,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Heteropoda,NA,DW,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Heterorhabdidae,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Heterorhabdidae,270,DW,Assmy_et_al_2023,10.1016/j.pocean.2023.102996,NA,NA,NA
Not_Staged,Not_Staged,Hyperiidea,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Hyperiidea,6300,DW,Williams_Robins_1979,10.1007/BF00398138,Northeast Atlantic ,Williams_Robins_1981;Williams_Robins_1979,1.55-18.47 mg
Not_Staged,Not_Staged,Isopoda,195.75,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,NA
Not_Staged,Not_Staged,Isopoda,NA,DW,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Labidocera,88,C,Brun_et_al_2017,10.5194/essd-9-99-2017,NA,ICES_WGZE_COPEPEDIA;Razouls_et_al_2005,68.7 in Razouls 
Not_Staged,Not_Staged,Labidocera,117,DW,Hebert_et_al_2016,10.1890/15-1275.1,NA,ICES_WGZE_COPEPEDIA;Hernandez-Trujillo_et_al_2014;Ara_2001,a bit lower in Ara and Hernandez-Trujillo
Not_Staged,Not_Staged,Labidocera aestiva,24.19,C,Conley_Turner_1985,10.3354/meps021113,Westport River estuary;Massachusetts,NA,female
Not_Staged,Not_Staged,Lucicutia,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Lucicutia,15,DW,Piontkovski_et_al_2008,10.1594/PANGAEA.693647,Mediterranean Sea,Piontkovski_Melnik_2008,NA
Not_Staged,Not_Staged,Lucifer,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Lucifer,239,WW,Vega-Perez_et_al_1996,"CIT:Vega-Perez, K. Ara, T. H. Liang, and M. M. Pedreira. 1996. Feeding of the planktonic shrimp Lucifer faxoni Borradaile, 1915 (Crustacea: Decapoda) in the laboratory. Rev. bras. oceanogr. 44: 1–8.",NA,NA,NA
Not_Staged,Not_Staged,Mecynocera clausi,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Mecynocera clausi,10,DW,Piontkovski_Shmeleva_2008,10.1594/PANGAEA.691359,South Atlantic,Piontkovski_et_al_2008,NA
Not_Staged,Not_Staged,Meganyctiphanes norvegica,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Meganyctiphanes norvegica,25000,DW,Brattelid_Matthews_1978,10.1080/00364827.1978.10411341,Western Norway,NA,NA
Not_Staged,Not_Staged,Meganyctiphanes norvegica,127000,WW,Kulka_Corey_1982,10.2307/1548004,Bay of Fundy,NA,NA
Not_Staged,Not_Staged,Metridia,64.76,C,Cabrol_et_al_2020,10.1093/PLANKT/FBAA012,St. Lawrence Estuary;North Atlantic,ICES_WGZE_COPEPEDIA;Brun_et_al_2017;Steinberg_unpub;Arashkevich_et_al_2024,for CV-CVI Metridia spp.;84 for various spp of Metridia in Brun_et_al_2017;M. longa 38-80 CV and 150 adult in Arashkevich_et_al_2024;85.35 Steinberg
Not_Staged,Not_Staged,Metridia,143.4,DW,Cabrol_et_al_2020,10.1093/PLANKT/FBAA012,St. Lawrence Estuary;North Atlantic,Pitois_Fox_2006;Assmy_et_al_2023;ICES_WGZE_COPEPEDIA;Skjoldal_Aarflot_2023;Cook_et_al_2023;Ueda_et_al_2008;Piontkovski_Shmeleva_2008,for Metridia spp. CV-CVI;12.4 Metridia CI-CIV for M. lucens in Pitois;150 for CVI in Skjoldal;120 in Assmy for CV M. longa;170 in Cook et al 2023;236 average of M. longa and M. lucens;136 Metridia spp. in Piontkovski_Shmeleva_2008
Not_Staged,Not_Staged,Metridia lucens,24,C,Hays_et_al_1998,10.1093/plankt/20.4.727,New Zealand,Barton_et_al_2020,same as adult;12.74 in Barton
Not_Staged,Not_Staged,Metridia lucens,40.6,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Pitois_Fox_2006;Skjoldal_Aarflot_2023;Razouls_et_al_2005,same as adult;62.3 in Pitois_Fox_2006;150 Metridia spp. CVI
Not_Staged,Not_Staged,Metridiidae,85.35,C,Steinberg_unpub,NA,Northeast U.S. Shelf,Huntley_Lopez_1992;Cabrol_et_al_2020;ICES_WGZE_COPEPEDIA;Brun_et_al_2017;Arashkevich_et_al_2024;Hirst_Sheader_1997,64.76 for CV-CVI Metridia spp. Cabrol_et_al_2020;84 for various spp of Metridia in Brun_et_al_2017;M. longa 38-80 CV and 150 adult;160 for M. gerlachei in Hirst_Sheader_1997
Not_Staged,Not_Staged,Metridiidae,236,DW,ICES_WGZE_COPEPEDIA,URL:https://www.st.nmfs.noaa.gov/copepedia/taxa/T4000111/html/biometricframe.html,NA,Hebert_et_al_2016;Brun_et_al_2017;Huntley_Lopez_1992;Cornils_et_al_2022;Bode_et_al_2018,average of M. longa and M. lucens;12.4 in Cornils_et_al_2022;270 for P. robusta in Bode_et_al
Not_Staged,Not_Staged,Microcalanus,2.8,DW,Hebert_et_al_2016,10.1890/15-1275.1,NA,ICES_WGZE_COPEPEDIA,for Microcalanus pusillus 
Not_Staged,Not_Staged,Mysida,490,C,Uye_1982,10.1007/BF02110286,Sea of Japan,NA,112-690
Not_Staged,Not_Staged,Mysida,1200,DW,Patonai_et_al_2024,10.3897/neobiota.93.121346,NA,Assmy_et_al_2023;Uye_1982;Fenaux_Gorsky_1983;Gorsky_et_al_1987;Hopcroft_et_al_1998;Hernroth_1985,NA
Not_Staged,Not_Staged,Mysidopsis bigelowi,600,DW,Ikeda_2013,10.1016/j.jembe.2013.04.001,NA,NA,NA
Not_Staged,Not_Staged,Nannocalanus minor,17,C,Brun_et_al_2017,10.5194/essd-9-99-2017,NA,ICES_WGZE_COPEPEDIA,same as adult
Not_Staged,Not_Staged,Nannocalanus minor,96,DW,Razouls_et_al_2005,URL:https://copepodes.obs-banyuls.fr/en/index.php,Mediterranean Sea,Shmeleva_1965,same as adult
Not_Staged,Not_Staged,Nematoscelis megalops,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Nematoscelis megalops,NA,DW,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Nematoscelis megalops,37000,WW,Wiebe_et_al_1981,"CIT:Wiebe, P. H., S. H. Boyd, M. Davis, and J. L. Cox. 1981. Avoidance of Towed Nets by the Euphausiid Nematoscelis megalops. Fishery Bulletin 80: 75–91.",Northeast U.S. Shelf,Gleiber_et_al_2022,adult
Not_Staged,Not_Staged,Neocalanus,400,C,Banas_Campbell_2016,10.3354/meps11873,NA,Brun_et_al_2017;ICES_WGZE_COPEPEDIA;Liu_Hopcroft_2006;Ohman_et_al_1989,100 for CIV Liu_Hopcroft_2006;450 in Brun
Not_Staged,Not_Staged,Neocalanus,1000,DW,Evanson_et_al_2000,URL:https://www.jstor.org/stable/24855727,Strait of Georgia;British Columbia,Ueda_et_al_2008;ICES_WGZE_COPEPEDIA;Nakamura_et_al_2017;Piontkovski_et_al_2008;Piontkovski_Melnik_2008;Miller_1993;Kobari_et_al_2003;Ohman_et_al_1989;Miller_1993,CV;677 for CV in Kobari_et_al_2003;600 for CV in Ohman_et_al_1989;1410 for Indian Ocean Neocalanus spp. in Piontkovski_Melnik_2008;160 for Neocalanus spp. CIII Piontkovski_Melnik_2008;300-500 for CV N. plumchurus Miller_1993;13-550 N. plumchurus Mackas and Galbraith (1992);150 in Brun_et_al_2017;200 for N.flemingeri in Miller_1993
Not_Staged,Not_Staged,Neocalanus,3800,WW,Kobari_et_al_2003,10.1016/S0079-6611(03)00102-2,Japan,Nakamura_et_al_2017,CV
Not_Staged,Not_Staged,Neomysis americana,250,DW,Chapina_et_al_2020,10.1093/jcbiol/ruaa031,Chesapeake Bay,Ikeda_2013,1500 in Ikeda
Not_Staged,Not_Staged,Oikopleura,1.61,C,Uye_1982,10.1007/BF02110286,Sea of Japan,NA,for O. dioica
Not_Staged,Not_Staged,Oikopleura,75,DW,Piontkovski_et_al_2008,10.1594/PANGAEA.693647,Mediterranean Sea,Assmy_et_al_2023;Uye_1982;Fenaux_Gorsky_1983;Gorsky_et_al_1987;Hopcroft_et_al_1998;Hernroth_1985,average of Oikopleura spp. males and females;2198 for sizes 20-30mm and 430 for sizes 10-20mm in Assmy;3.49 in Uye 1982 for O. dioica;0.4-45.02 for O. longicauda in Fenau and Gorsky;0.6-18 for O. dioica in Gorsky et al 1987;max 10 for O. longicauda and 6 for O. dioica in Hopcroft;9 WW for O. dioica in Hernroth 1985;2580 Piontkovsky
Not_Staged,Not_Staged,Oikopleura longicauda,1.61,C,Uye_1982,10.1007/BF02110286,Sea of Japan,NA,for O. dioica
Not_Staged,Not_Staged,Oikopleura longicauda,3.5,DW,Uye_1982 ,10.1007/BF02110286,Sea of Japan,Sato_et_al_2001,for O. dioica;2.6-5.2 Sato_et_al_2001 for O. dioica
Not_Staged,Not_Staged,Oithona,0.41,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,Swadling_et_al_1997;Cabrol_et_al_2020;Corona_et_al_2021;ICES_WGZE_COPEPEDIA;Castellani_et_al_2005;Castellani_et_al_2007,0.2-1.52 various spp in Castellani et al 2005;Swadling_et_al_1997 Oithona similis (CI-CIV) 0.78 C;1.97 in Cabrol et al 2020 for adults;Lonsdale et al 2000;0.67 ICES WGZE; 0.54 ug Corona_et_al_2021;0.65 for females in Castellani 2007;0.65 in ICES WGZE
Not_Staged,Not_Staged,Oithona,2.034,DW,Hay_et_al_1991,10.1016/0278-4343(91)90021-W,North Sea,Muxagata_2005;Skjoldal_Aarflot_2023;Assmy_et_al_2023;Cabrol_et_al_2020;Pitois_Fox_2006;Hopcroft_Roff_1998,0.54 Muxagata_2005;2 Skjoldal_Aarflot_2023;10 Cabrol_et_al_2020 for adults
Not_Staged,Not_Staged,Oithona spinirostris,0.6,C,Castellani_et_al_2007,10.1093/plankt/fbm079,Irminger Sea;North Atlantic Ocean,NA,for O. similis
Not_Staged,Not_Staged,Oithona spinirostris,2,DW,Skjoldal_Aarflot_2023,10.1093/plankt/fbad043,Barents Sea,NA,for Oithona spp.
Not_Staged,Not_Staged,Oncaea,0.98,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,Cabrol_et_al_2020;Bottger-Schnack_Schnack_2023,3.09 in Cabrol et al. 2020 CV-CVI;ranges from 0.54 to 16.7 ug C in Bottger-Schnack and Schnack 2023 table 9
Not_Staged,Not_Staged,Oncaea,6.8,DW,Hopcroft_Roff_1998,10.1007/s002270050373,Jamaica,Skjoldal_Aarflot_2023;Assmy_et_al_2023;Cabrol_et_al_2020;Bottger-Schnack_Schnack_2023,4;2.5;94.9 for CV-CVI
Not_Staged,Not_Staged,Ostracoda,35.7,C,Cabrol_et_al_2020,doi:10.1093/plankt/fbaa012,North Atlantic;St. Lawrence Estuary,NA,NA
Not_Staged,Not_Staged,Ostracoda,80,DW,Piontkovski_Melnik_2008,10.1594/PANGAEA.691590,Indian Ocean,Assmy_et_al_2023;Ikeda_1990;Cabrol_et_al_2020,30ug Ikeda 1990;95 in Cabrol
Not_Staged,Not_Staged,Paguridea,51.3,C,Dawirs_1980,10.1007/BF00420963,North Sea,Anger_1996,NA
Not_Staged,Not_Staged,Paguridea,131,DW,Dawirs_1980,10.1007/BF00420963,North Sea,Anger_Dawirs_1982;Balazy_et_al_2015,for Pagurus bernhardus Zoea III;41-327;690 ug DW Assmy_et_al_2023;140 Anger_Dawirs_1982 average;77.5 Dawirs average
Not_Staged,Not_Staged,Paracalanidae,0.35,C,Hirst_Sheader_1997,URL:jstor.org/stable/24857851,NA,NA,NA
